linkID,link
9,1
135,1
434,1
262,1
383,1
212,1
357,0
233,1
189,0
441,0
333,0
134,1
491,0
321,0
132,0
2,0
228,0
260,1
85,1
204,0
426,1
377,0
277,1
101,1
12,0
38,1
395,0
18,1
147,0
133,1
392,0
304,0
479,0
486,1
241,1
177,1
53,0
466,1
419,0
452,1
280,1
124,0
140,0
423,0
443,1
478,0
295,0
22,0
176,1
360,1
162,1
46,1
14,1
119,0
144,1
325,1
408,0
152,0
365,1
146,0
116,0
42,1
29,1
410,1
165,0
172,1
442,1
138,0
154,1
307,1
74,1
68,1
273,0
285,0
359,0
37,1
41,0
103,1
156,1
229,1
438,1
7,0
77,1
211,1
453,0
79,0
283,1
91,0
186,0
117,0
125,0
16,0
279,0
373,1
13,1
267,0
447,1
196,0
15,0
431,0
465,0
255,0
323,1
11,1
81,1
231,1
332,0
3,0
45,1
429,1
409,1
203,1
185,0
20,0
371,1
396,1
153,0
483,1
206,1
316,0
448,1
398,0
92,1
463,1
390,1
86,1
352,0
310,0
122,0
248,1
271,0
87,0
219,0
314,0
417,0
163,0
150,1
420,1
23,0
151,0
265,0
293,0
350,0
269,1
252,1
291,0
412,0
149,0
474,1
96,0
312,0
105,1
180,1
308,1
26,0
136,1
311,0
64,1
128,0
329,1
88,0
35,0
388,1
430,1
195,0
379,0
181,1
223,0
490,0
155,1
422,1
303,0
462,1
391,0
82,0
58,1
468,1
183,0
492,0
389,0
374,0
306,0
148,0
208,0
461,0
427,0
89,1
247,0
224,1
84,1
95,1
319,1
59,0
236,1
102,1
432,0
120,0
480,0
201,1
344,0
482,0
28,0
351,0
34,0
455,1
126,1
226,1
51,0
338,0
454,0
75,1
234,1
399,1
289,1
418,0
230,1
191,1
335,0
94,1
475,1
284,0
459,1
161,0
451,0
263,0
298,0
232,0
494,0
320,1
40,0
421,1
499,0
317,1
405,0
69,0
370,1
218,1
382,0
425,0
449,1
477,0
437,0
386,0
129,0
270,0
198,0
313,0
73,1
30,1
376,0
4,1
309,1
114,0
481,0
47,0
297,1
300,1
238,1
52,0
433,0
341,1
361,0
168,0
355,1
60,1
353,0
220,1
17,0
488,1
90,1
57,1
98,1
62,1
239,0
39,1
166,0
275,1
118,1
384,0
249,1
182,1
178,0
97,1
143,1
170,0
242,0
473,1
190,1
50,0
413,1
331,1
278,1
227,0
131,0
393,1
258,0
436,1
489,0
158,0
127,1
290,0
173,0
24,0
305,1
25,1
343,1
334,1
6,0
378,0
487,1
259,0
460,1
327,0
243,1
336,0
387,1
363,1
253,0
121,0
1,1
467,1
202,1
145,0
397,1
251,0
188,1
70,1
324,0
315,0
250,1
194,1
66,1
67,1
496,0
266,0
264,0
282,1
0,0
472,0
216,1
139,0
476,1
493,1
354,1
444,1
362,1
65,0
174,1
215,0
411,0
356,1
222,1
193,1
141,1
123,0
458,0
221,0
292,1
33,0
440,1
406,0
27,0
268,1
369,1
164,0
10,1
19,1
294,1
159,0
450,0
403,0
179,1
281,1
339,0
400,0
167,0
209,0
244,0
157,1
137,0
254,0
404,1
175,1
366,0
367,0
484,1
439,0
61,0
318,1
83,1
36,0
415,0
93,0
347,0
192,1
256,0
108,1
349,0
112,0
240,0
76,1
54,1
301,1
106,0
328,1
245,1
142,1
495,0
31,0
497,0
184,1
445,1
485,1
200,1
380,1
214,0
296,1
498,1
210,0
235,1
302,1
63,1
274,0
424,0
385,1
107,0
113,1
407,1
276,1
381,1
435,1
109,1
416,1
287,1
130,1
330,0
326,0
364,1
322,0
21,0
100,0
375,0
457,0
414,0
213,1
43,1
32,0
456,0
197,0
115,0
207,1
80,0
446,0
286,1
48,0
237,1
358,0
257,0
340,0
199,1
217,1
464,1
469,1
205,0
5,0
78,0
394,0
72,0
470,0
401,1
169,0
428,0
345,1
342,1
372,0
56,1
55,0
104,0
110,0
49,0
471,1
171,1
337,0
346,1
402,0
246,0
111,1
160,1
71,1
99,0
44,1
272,1
8,1
299,1
261,1
225,0
288,0
348,0
187,0
368,1
